storage,coal_price,energy_price,action
1000,100,240,"(False, True)"
1000,100,250,"(False, True)"
1000,100,260,"(False, True)"
1000,100,270,"(False, True)"
1000,100,280,"(False, True)"
1000,100,290,"(False, True)"
1000,100,300,"(False, True)"
1000,110,10,"(False, False)"
1000,110,20,"(False, False)"
1000,110,30,"(False, False)"
1000,110,40,"(False, False)"
1000,110,50,"(False, False)"
1000,110,60,"(False, False)"
1000,110,70,"(False, False)"
1000,110,80,"(False, False)"
1000,110,90,"(False, False)"
1000,110,100,"(False, False)"
1000,110,110,"(False, False)"
1000,110,120,"(False, False)"
1000,110,130,"(False, True)"
1000,110,140,"(False, True)"
1000,110,150,"(False, True)"
1000,110,160,"(False, True)"
1000,110,170,"(False, True)"
1000,110,180,"(False, True)"
1000,110,190,"(False, True)"
1000,110,200,"(False, True)"
1000,110,210,"(False, True)"
1000,110,220,"(False, True)"
1000,110,230,"(False, True)"
1000,110,240,"(False, True)"
1000,110,250,"(False, True)"
1000,110,260,"(False, True)"
1000,110,270,"(False, True)"
1000,110,280,"(False, True)"
1000,110,290,"(False, True)"
1000,110,300,"(False, True)"
1000,120,10,"(False, False)"
1000,120,20,"(False, False)"
1000,120,30,"(False, False)"
1000,120,40,"(False, False)"
1000,120,50,"(False, False)"
1000,120,60,"(False, False)"
1000,120,70,"(False, False)"
1000,120,80,"(False, False)"
1000,120,90,"(False, False)"
1000,120,100,"(False, False)"
1000,120,110,"(False, False)"
1000,120,120,"(False, False)"
1000,120,130,"(False, True)"
1000,120,140,"(False, True)"
1000,120,150,"(False, True)"
1000,120,160,"(False, True)"
1000,120,170,"(False, True)"
1000,120,180,"(False, True)"
1000,120,190,"(False, True)"
1000,120,200,"(False, True)"
1000,120,210,"(False, True)"
1000,120,220,"(False, True)"
1000,120,230,"(False, True)"
1000,120,240,"(False, True)"
1000,120,250,"(False, True)"
1000,120,260,"(False, True)"
1000,120,270,"(False, True)"
1000,120,280,"(False, True)"
1000,120,290,"(False, True)"
1000,120,300,"(False, True)"
1000,130,10,"(False, False)"
1000,130,20,"(False, False)"
1000,130,30,"(False, False)"
1000,130,40,"(False, False)"
1000,130,50,"(False, False)"
1000,130,60,"(False, False)"
1000,130,70,"(False, False)"
1000,130,80,"(False, False)"
